id,数据类型,分析对象ID,分析对象,站点id,站点名称,标题,内容,视频封面内容识别,音频内容识别,视频花字识别,视频文本识别,内容类型,话题,作者,url,情感,发表时间,更新时间,总互动量,转发数,评论数,点赞数,阅读数,收藏数,粉丝数,关注数,发布视频数,用户所获点赞数,用户笔记被收藏数,发布笔记数,是否广告,文章类型,是否主贴,用户id,小红书号,用户主页url,用户属地,主贴属地,认证类型, 是否认证用户,性别,出生年份,是否水军,用户简介,item_id,类别id,图片url,头像url,视频url,关键词,搜索关键词,关键词指纹,是否水贴,其他,视频时长,图片上的标签列表,笔记里的标签列表,笔记中艾特的用户列表,合作品牌,用户地址,认证简介,MCN机构名称,用户所获点赞和收藏数
69a54e6e000000002303ad89,电商笔记,107409891,面霜,146510,小红书,看到可复美拿到这个，只能说所实至名归,一睡醒可复美入选了“中国消费名品” 行业内都直接炸锅了！！谁懂这种gj级认可的含金量 不仅吃市场地位、还要行业地位、更要技术实力 榜上有名的都是行业内拔尖的选手！！ 不过它能上榜我也不意外，毕竟人家在国货护肤这块一直走在行业前列 前端时间巨子生物接连拿下美美三证，在科研力这块实力确实不容小觑 它家无论是口碑、销量和研发实力都不用我多说了 如果还没入坑可复美的我强推他们家的焦点面霜 尤其是经常熬夜垮脸，还显黑显暗沉的敏皮 用完它，脸感觉像是被富养的饱满紧致，透亮干净 用国泰民安来形容真的不过分！！ 而且为啥强推它，主要这瓶在K糖K氧的基础上 还能充能肌底胶原， 尤其是对熬夜后垮脸和疲软感超级好使！ 用完皮肤会透亮不少！脸部暗沉直接全面大扫除 同时它还考虑到皮肤压力和节律问题 用了臻藻修护组合！！ 修护光笋伤同时让皮肤更加稳定！！ 敏皮用它不用担心建立耐受，反而越用越稳定 一瓶相当于提亮面霜+,①可复美”’ 可复美荣登 《2025年度中国消费名品名单》 获潮流新锐品牌认证 重磅消息！！！  民胜机品人股股有限公司 江界泛大丰海制究限公司  汇共松股检有限公司 漂河市2党明育空限公司  郑州市经达务限公司    162 可复美 西安巨子生物基因技术股份有限 公司  武们家最厅民旅复添务信党限公司）  皮肤有问题 就找可复美 2026|②可复美 重组胶原蛋白光奕律时 修护精华霜 REOMBINANTCOLLAGENLUMNOUSAD REPARESSENCECREAM,,,,UGC,,护肤袁湘琴,https://www.xiaohongshu.com/discovery/item/69a54e6e000000002303ad89,1,2026-03-02 16:46:38,2026-03-04 07:41:00,48,9,20,,,19,3296,4,0,11806,3036,149,是,普通笔记,主贴,5a93b2c6e8ac2b3124500166,C666999178,http://www.xiaohongshu.com/user/profile/5a93b2c6e8ac2b3124500166,浙江,,困困薯,未认证,女,,,当朋友圈发，喜欢就来，不喜欢随缘哈哈哈,69a54e6e000000002303ad89,1,https://sns-img-al.xhscdn.com/1040g2sg31t73557mlei04a2kg8pcc0b69vtr260?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t741ltil6004a2kg8pcc0b6k8i725o?imageView2/2/w/480/format/webp,https://sns-avatar-qc.xhscdn.com/avatar/5fe2e62bd68fd326e281fc60.jpg?imageView2/2/w/360/format/webp,,行业|强推|皮肤|暗沉|面霜,面霜,aa835c7b028656b5d6698be4354d05af,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,,,,地球的某一片红薯地,,,10000
69b55749000000002100517a,电商笔记,107409891,面霜,146510,小红书,今天的快乐是小样给的,谁懂啊！正装太贵不敢盲冲，小样简直是普通人解锁高端美妆的通关密钥～几杯奶茶的钱，就能把贵妇级护肤、神仙色号全揣进化妆包，性价比直接拉满💯 ✅ 为什么非小样不可？ 🌿 试错成本为0：肤质千差万别，正装踩雷全浪费！小样精准测适配，精华、面霜、口红挨个试，找到真爱再冲正装，不花一分冤枉钱 ✈️ 轻量化出行神器：出差旅行带它太香了！5ml精华、15ml面霜比口红还小，塞包里不占地，登机无压力，旅途护肤不将就 💰 省钱还能尝鲜：兰蔻菁纯、赫莲娜黑绷带、YSL口红…正装动辄上千，小样几百块就能囤一堆，同价位能解锁N个大牌明星单品 别再被大牌价格劝退啦！小样让高端美妆触手可及，既能省钱不踩雷，又能天天换肤换妆，精致感直接拉满～快把你的化妆包装满吧！ #大牌小样 #化妆品小样 #护肤品自由 #大牌护肤 #屿光美妆 #学生党美妆 #旅行必备[话题],②ESTEEUNUDER  R    R    ESTEELAUCR LANEOME,,,,UGC,大牌小样|旅行必备[话题]|大牌护肤|护肤品自由|化妆品小样|屿光美妆|学生党美妆,屿光美妆～陈陈陈,https://www.xiaohongshu.com/discovery/item/69b55749000000002100517a,0,2026-03-14 20:40:41,2026-03-15 19:45:00,1,0,0,1,,0,10,10,,,,,是,普通笔记,主贴,63dd32940000000026006540,5079026564,http://www.xiaohongshu.com/user/profile/63dd32940000000026006540,上海,,,,男,,,📱biucabiuca,69b55749000000002100517a,1,https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k831tmp2ojdnud05out6aa9gpa0lqjus30?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031tmp2okrnu605out6aa9gpa04g4sr10?imageView2/2/w/480/format/webp,https://sns-avatar-qc.xhscdn.com/avatar/1000g2jo2kck9ocqj401g5out6aa9gpa0qudveeo?imageView2/2/w/360/format/webp,,小样|正装|美妆|口红|大牌,面霜,267220350fc22c5a95c2664db02a62b8,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,大牌小样|旅行必备[话题]|大牌护肤|护肤品自由|化妆品小样|屿光美妆|学生党美妆,,,上海嘉定,,,10
69b6ce39000000002202abee,电商笔记,107409891,面霜,146510,小红书,小红书很火的面霜买了，说一下我的使用感受,有一说一，确实很保湿，也不会黏黏的，夏天用也合适，味道闻着是淡淡的植物那种味，到现在用了差不多一个月了，没有黑脸，光是以上这些我就很满意了，五十块的面霜还要啥自行车😂，但如果真的用久了能养护皮肤屏障那简直了 转自@柠檬妈妈 #宝宝面霜 #宝宝身体乳春夏 #新生儿面霜 #宝宝夏季面霜 #保湿霜 #婴儿面霜 #宝宝身体乳春夏 #宝宝夏季面霜 #保湿霜 #小宝宝面霜,①奥幼儿 补水保湿 儿皮肤屏障呵护霜  HATSHNBAR 中宝宝肌肤|③Cndy  |④ 婴幼儿皮肤屏障呵护等 补水保湿呵护家家肌肤 JNFANTSKINBARIER CARECREA,,,,PGC,宝宝夏季面霜|保湿霜|宝宝身体乳春夏|宝宝面霜|婴儿面霜|小宝宝面霜|新生儿面霜,余仁生医疗器械,https://www.xiaohongshu.com/discovery/item/69b6ce39000000002202abee,1,2026-03-15 23:20:25,2026-03-16 22:57:02,22,0,22,,,0,33437,88,,124759,59582,2229,是,普通笔记,主贴,5c35d203000000000602ba78,501674323,http://www.xiaohongshu.com/user/profile/5c35d203000000000602ba78,广东,,文化薯,未认证,女,,真实,专注于草本植萃领域🌿\n秉着「安全、有效、温和」的护肤理念\n温柔守护宝宝和妈妈的娇嫩肌肤🛡\n成人洗护这边请@余仁生美妆护肤,69b6ce39000000002202abee,1,https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k831to6obavnq8g5n1lq81hlejovpumseo?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k831to6obavnq905n1lq81hlejo9scq2oo?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k831to6obavnq9g5n1lq81hlejo0n8oe50?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k831to6obavnqa05n1lq81hlejo5pa971g?imageView2/2/w/480/format/webp,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31h4sp99r3ie05n1lq81hlejop2pi470?imageView2/2/w/540/format/webp,,面霜|宝宝|保湿霜|身体乳|春夏,面霜,1c1a9365b71839409a06722210132d77,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,宝宝夏季面霜|保湿霜|宝宝身体乳春夏|宝宝面霜|婴儿面霜|小宝宝面霜|新生儿面霜,,,地球的某一片红薯地,医疗器械,,127167
69a7e0540000000026033ecd,电商笔记,107409891,面霜,146510,小红书,盘点我的孕期精简护肤好物 生完才敢说,#生活需要分享欲 🎉孕期皮肤真的能变好！！！ 姐妹们别偷懒，该护肤就护肤～ 选对好物、精简护肤就足够 生完娃才敢来分享我的空瓶宝藏 🤝给新手妈妈一点参考吧 认真护肤，孕期也能拥有透亮好状态哦～ 白天：洁面→水→精华→面霜→防晒 晚上：洁面→每周2次面膜→精华→面霜 身体：妊娠油+身体乳（每天坚持哈）！ 1⃣淡斑精华 2⃣眼部精华 3⃣喷雾 4⃣洁面乳 5⃣妊娠油 6⃣面霜➕隔离霜 7⃣爽肤水 8⃣润肤乳 9⃣保湿霜 #新手妈妈必囤好物 #护肤好物 #母婴好物 #极简护肤 #精简护肤 #孕期护肤 #护肤分享 #爱用物分享 #我的护肤日记,①淡系小白后温和提突 雾可以暖解空遇房琴亲的干燥 淡化色妮症印建亮肤色 快速地程肤补充水分 教了孕早期就长别的我 时表面形成保护膜锁住水分 馈一下地题方便 PROX    这致级细补水保湿改养眼国干坟   孕期也在鉴持微防路 这款夜适合孕期日常通 户外活动然货用 也写作为技制打底给    妊贩油是孕期必备 对预防和淡化妊妞校 这款可以深眉游养干燥肌肤 增强肌肤弹性 缓解孕期膜想等部位紧银感哦 这歡长效保湿保湿润肤乳 我应孕额就一直在用 现在和家室一起性价比题高 是科医生指荐的湿步辅动护题产品喻   Cetaphil  培多营购选择的经典保湿据 保湿爽肤水不解孕前迁是孕后整楚必条品 宝宝和孕期家庭的万能保湿产品 这款或分美然温和，无善精酒精、防腐剂 写作为蛋霜成身体乳 活合孕期及辅乳期女性 也合款感日营使治 天般密的品之一明|②淡斑小白瓶温和提亮 淡化色斑痘印提亮肤色 拯救了孕早期就长斑的我 PRCX OLAY NIA-SEPITXA    |③Kansaro 孕期眼周护理也很重要 这款眼霜补水保湿改善眼周干纹 质地清爽易吸收 不易长脂肪粒专为孕期设计|④喷雾可以缓解空调房带来的干燥 快速给肌肤补充水分 同时表面形成保护膜锁住水分 喷一下也很方便 Avene EAU THERMALE |⑤Kangaroo mommy  小麦经芽水润像护 保湿洁需 WHATGENMOSTCAREPNS HORTINTAORCIANUR 密集补水 深润保溶 孕期洁面乳也要选对哦 这款温和清洁，洗后不紧绷 同时补水保湿修护肌肤屏障|⑥ MassageOt furScnwangere  TAV-  妊娠油是孕期必备 可预防和淡化妊娠纹 这款可以深层滋养干燥肌肤 增强肌肤弹性 缓解孕期腹部等部位紧绷感哦|⑦孕期也在坚持做防晒 这款很适合孕期日常通勤 户外活动前使用 也可作为妆前打底哈 Kaoanoo|⑧Kangaroo mommy WHEATGEM 保湿爽肤水不管孕前还是孕后都是必备品 这款成分天然温和，无香精酒精、防腐剂 适合孕期及哺乳期女性 也适合敏感肌日常使用哦|⑨这款长效保湿保湿润肤乳 我从孕前就一直在用 现在和宝宝一起性价比超高 是科医生推荐的湿疹辅助护理产品哦 艾诺宝贝 Aveeno baby 柔嫩保湿 润肤乳   净含量：354g|⑩超多宝妈选择的经典保湿霜 宝宝和孕期家庭的“万能”保湿产品 可作为面霜或身体乳 无限回购品之一哦  Cetaphil risingCream yDry.sopeSin,,,,未知,护肤分享|我的护肤日记|精简护肤|爱用物分享|极简护肤|护肤好物|孕期护肤|生活需要分享欲|新手妈妈必囤好物|母婴好物,伊娃小🐰宝～,https://www.xiaohongshu.com/discovery/item/69a7e0540000000026033ecd,0,2026-03-04 15:33:40,2026-03-04 16:03:00,31,13,4,,,14,1681,44,,3281,1715,16,是,普通笔记,主贴,64f814790000000006032544,3584272289,http://www.xiaohongshu.com/user/profile/64f814790000000006032544,浙江,,,未认证,女,,,🧘90后理性派宝妈丨陪宝宝肆意长大\n✨好物分享丨带娃日常丨生活日记\n💗快乐的妈妈是给孩子最好的礼物\n📮137️⃣7️⃣9️⃣9️⃣0583@🐧🐧.com,69a7e0540000000026033ecd,1,https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole005p7o2hshm9a44q8hcko?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole0g5p7o2hshm9a4u469mdo?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole105p7o2hshm9a4hr15uuo?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole1g5p7o2hshm9a4lm6bk9g?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole205p7o2hshm9a4b1a9it8?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole305p7o2hshm9a4i0clle8?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole2g5p7o2hshm9a4h6p17h8?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole3g5p7o2hshm9a4phor1r8?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole405p7o2hshm9a4c6poou0?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/notes_pre_post/1040g3k031t9k6qbole4g5p7o2hshm9a48q1v3no?imageView2/2/w/480/format/webp,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo31t36776v560g5p7o2hshm9a44nirdv0?imageView2/2/w/540/format/webp,,面霜|精华|新手妈妈|洁面|护肤,面霜,d851e12d92e0622637e33c2d41f93051,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,护肤分享|我的护肤日记|精简护肤|爱用物分享|极简护肤|护肤好物|孕期护肤|生活需要分享欲|新手妈妈必囤好物|母婴好物,,,浙江杭州,,,
69a701140000000015033046,电商笔记,107409891,面霜,146510,小红书,,#夜琉璃面霜,,,,,未知,夜琉璃面霜,林,https://www.xiaohongshu.com/discovery/item/69a701140000000015033046,0,2026-03-03 23:41:08,2026-03-04 02:45:26,0,0,0,,,0,,,,,,,是,普通笔记,主贴,63e9df9e000000002702a8fa,,,,,,,,,,,69a701140000000015033046,1,https://sns-img-al.xhscdn.com/note_pre_post_uhdr/1040g3r831t8ov9175s905ov9ruf9ta7qgm0k158?imageView2/2/w/480/format/webp,,,面霜|夜琉璃,面霜,592b966e68c901b93007dc9e6ef6e501,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,夜琉璃面霜,,,,,,
69c124f4000000002103a620,电商笔记,107409891,面霜,146510,小红书,真的有被ICD护肤品惊艳到！,#RIMAN力曼 #抗衰老护肤品 #肌肤发光的秘密,①ICD全新护肤系列 平衡洁颜凝胶、光点100超微流极光修复液 光点100超微流极光修复精华、光点100超微流极光面霜 今日正式优雅登场，即日起，新品正式上市，以简驭紧，还原肌肤本真之美 诚邀您官方线上商城，率先体验  HAORNS Balancing GelCleanser Toner  BAMLSORS  Essebce 1294  Cem5010|②Ting~Riman hmckenbckinunicrsc ICD RADIANSOME 100 ICD RADIANSOMEM 100 MOOFLUOZE Tonor NOOm/3 Cream|③Essence OFLUZ  Ting~Riman Randmkickinwisee MICROFLUIDIZER Cream 50mL/1.69n.oz.|④没用过力曼皮肤 用力曼一个星期皮肤,,,,UGC,肌肤发光的秘密|RIMAN力曼|抗衰老护肤品,彤彤,https://www.xiaohongshu.com/discovery/item/69c124f4000000002103a620,1,2026-03-23 19:33:08,2026-03-24 20:01:30,0,0,0,0,,0,3,0,,9,0,5,是,普通笔记,主贴,64d4f8d10000000001005477,2086320961,http://www.xiaohongshu.com/user/profile/64d4f8d10000000001005477,广东,,,未认证,,,,现做现卖芋泥冰沙,69c124f4000000002103a620,1,https://sns-img-al.xhscdn.com/1040g2sg31u29s5hbn2e05p6kv38g8l3nk93f490?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/1040g2sg31u29s5hbn2eg5p6kv38g8l3nmkqf6eg?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/1040g2sg31u29s5hbn2f05p6kv38g8l3nne4frao?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/1040g2sg31u29s5hbn2fg5p6kv38g8l3ng7olor8?imageView2/2/w/480/format/webp,https://sns-avatar-qc.xhscdn.com/avatar/64d4f98f879c865fe9075ee3.jpg?imageView2/2/w/540/format/webp,,护肤品|抗衰老|惊艳|肌肤|秘密,面霜,ac203cccfe403163a936a4e789bdbe0d,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,肌肤发光的秘密|RIMAN力曼|抗衰老护肤品,,,广东汕尾,,,
69bfe8c3000000001e00ce18,电商笔记,107409891,面霜,146510,小红书,,#护肤 #敏感肌,①想问一下敏感肌屏障 受损有没有好用的 修复产品， 丝塔芙思维面霜好贵 本人学生党,,,,未知,敏感肌|护肤,仙九·,https://www.xiaohongshu.com/discovery/item/69bfe8c3000000001e00ce18,0,2026-03-22 21:04:03,2026-03-22 23:22:00,4,0,4,,,0,,,,,,,是,普通笔记,主贴,5c28256d0000000006007721,,,,,,,,,,,69bfe8c3000000001e00ce18,1,https://sns-img-al.xhscdn.com/1040g2sg31u124e5t6uj05og5pve41c5l4bh9v80?imageView2/2/w/480/format/webp,,,敏感肌|护肤,面霜,73829cccab3bbabdcd7ded24759c282e,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,敏感肌|护肤,,,,,,
69b63df60000000023006189,电商笔记,107409891,面霜,146510,小红书,,珀莱雅红宝石水乳面霜三件套 这三搭配在一起简直是教科书级别的全面抗老模版，水乳里的6重胜肽+1重胶原，每个都是抗老王牌，一边促生胶原一边抑制胶原流失#护肤套装 #水乳套装 #水乳套装 #适合各种肤质,①珀莱雅红宝石三件套　 面霜50ml+水120ml+乳120ml 温和抗老深入肌肤补充水分 面霜里的双环肽和5重信号肽 搭配使用让皮肤QQ弹弹 皮肤粗糙暗沉松垮下垂爆改透亮少女肌 PROYA PROYA PROYA PROYA  面霜50ml+水120ml+乳120ml,,,,UGC,适合各种肤质|护肤套装|水乳套装,LXL💋,https://www.xiaohongshu.com/discovery/item/69b63df60000000023006189,0,2026-03-15 13:04:54,2026-03-16 18:47:00,0,0,0,0,,0,10,10,,,,,是,普通笔记,主贴,5b2e79d6e8ac2b0498aa3ecc,271288778,http://www.xiaohongshu.com/user/profile/5b2e79d6e8ac2b0498aa3ecc,福建,,,,女,,,,69b63df60000000023006189,1,https://sns-img-al.xhscdn.com/1040g00831tnkhelk6u504a6h2jstcfmcgv7g41g?imageView2/2/w/480/format/webp,https://sns-avatar-qc.xhscdn.com/avatar/5b2e7a3cb46c5d17f6c27ff7.jpg?imageView2/2/w/360/format/webp,,胶原|抗老|珀莱雅|红宝石|三件套,面霜,bceb2567c5a415c44ec1b3270757bf8b,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,适合各种肤质|护肤套装|水乳套装,,,安道尔共和国,,,10
69abc87c00000000150232f8,电商笔记,107409891,面霜,146510,小红书,🧖‍♀️懒人护肤新宠，保湿力在线,换季皮肤总爱闹脾气？这款保湿霜用着很安心。 质地水润不厚重，上脸秒吸收。 日常护肤用它，保湿力刚刚好。 #hbn双a醇晚霜 #赫莲娜白绷带 #欧莱雅胶原小蜜罐 #海蓝之谜奇迹面霜 #麦吉丽 #保湿霜推荐 #秋冬护肤 #干皮救星 #滋润保湿 #护肤好物,①SHUGIA 束氏 SHUGIA ANGEL REVIVALMOISTURE CREAM 束氏活肤保湿 SHUGIA 滋润霜 RevivalMoistureCream 束氏活肤保湿滋润霜 高保湿 净含量：S0g 深滋润 快补水|②SHUGIA 束氏 保湿 光泽 锁住 SHUGIA 水分 RevivalMoistureCream 束氏活肤保湿滋润霜 净含量：50c 嫩滑 细腻|③SHUGIA 束氏  大明星成分， 透明质酸钠 补水保湿，水润 肌肤 甘油 保湿补水，润泽 航肤 SHUGIA RevivalMoistureCream 束氏活肤保湿滋润霜 黄瓜提取物 净含量：50 提亮通透，光洁 透亮 当归提取物 饱满光泽，焕活 肌肤|④SHUGA 束氏 SHUGIA RevivalMoistureCream 束氏活肤保湿滋润霜 净含量：50g|⑤SHUGIA RevivalMoistureCream 束氏活肤保湿滋润霜 净含量：50c,,,,UGC,干皮救星|麦吉丽|hbn双a醇晚霜|海蓝之谜奇迹面霜|护肤好物|赫莲娜白绷带|保湿霜推荐|秋冬护肤|欧莱雅胶原小蜜罐|滋润保湿,美肌小铺4581,https://www.xiaohongshu.com/discovery/item/69abc87c00000000150232f8,1,2026-03-07 14:41:00,2026-03-08 21:03:30,0,0,0,0,,0,24,0,,156,18,200,是,普通笔记,主贴,65f3b9bd0000000003026991,3776584303,http://www.xiaohongshu.com/user/profile/65f3b9bd0000000003026991,安徽,,,未认证,女,,,还没有简介,69abc87c00000000150232f8,1,https://sns-img-al.xhscdn.com/spectrum/1040g34o31tdeelkvle105pfjn6ugsqchk31ha90?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/spectrum/1040g34o31tdeeome58105pfjn6ugsqchoa7cpt0?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/spectrum/1040g0k031tdeeone6e005pfjn6ugsqchmda0628?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/spectrum/1040g34o31tdeeons58105pfjn6ugsqchfksjb38?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/spectrum/104000k031tdeebif5e18mj7vn8?imageView2/2/w/480/format/webp,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo316a81s221e605pfjn6ugsqchs43v6fo?imageView2/2/w/540/format/webp,,保湿|保湿霜|赫莲娜|海蓝之谜|胶原,面霜,0626149128fe5798473f6d1a473f1737,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,干皮救星|麦吉丽|hbn双a醇晚霜|海蓝之谜奇迹面霜|护肤好物|赫莲娜白绷带|保湿霜推荐|秋冬护肤|欧莱雅胶原小蜜罐|滋润保湿,,,,,,10
69b95ef40000000023013cb0,电商笔记,107409891,面霜,146510,小红书,男士护肤套装 #,#男士护肤套装 #,"①碧欧泉蓝钻「紧塑 面霜 在男士护肤领域钻研40年！ 专门为男士量身定制了属于男人的「玻色因！ 男士专研玻色因 给男生kuku高效补充l型胶原 稳稳撑起松弛塌的皮肤 紧致清晰面部轮廊 【肌酸】 BIOTHERM HOMME FORCESUPREMEFACERESHAPER 【透明颤菌发酵产物】 EUUATTA CULPTANTE&ANTI-RIDES 修护受损肌肤屏障 强化淡纹紧致功效|②适合油皮or早上用 油皮白天额头&鼻子易出油 毛孔明显、皮肤暗沉粗糙 建议4早晚都可优先使用蓝钻精华 质地清爽无负担，抗老的同时调理肤质 晚上觉得皮肤干的话，可局部叠加面霜 OTERM RCESUPREME BLUESERUM[UPXR] BOTERM  PREMEFACERESHAPER 适合干皮or晚上用 AANTREES 干皮洗脸后脸容易紧绷 早晚都可侧重使用蓝钻面霜 平时少有油光 换季or冬天容易干燥起皮 强化滋润修护+高效抗老 把塌的脸""撑“起来|③碧欧泉蓝钻「淡纹」精华PRO 【3%3D胶原肽】 帮助肌肤补充胶原蛋白 增强胶原支撑力紧致提拉培脸 【4倍浓缩玻色因） 欧家王牌抗老成分 快速直达肌底高效淡纹 提升肌肤平整度和0弹度  【0.2%A醇pro） FORCESUPREME BLUESERUM[LP-XR] 保持A醇的强抗老力 ANTHRDES&RAFFERMSSANT ANTHWRNLES&FRMING 又兼顾温和度！很适合新手 【透明颤菌发酵产物】 促进成分吸收放大抗老效果|④没有人比碧欧泉更懂男士抗老 男士分时抗老两大真神！ 碧欧泉蓝钻「淡纹丨精华PRO 碧欧泉蓝钻「紧塑」面霜 BIOTHERM HOMME FORCESUPREME BLUESERUM[LPXR] BIOTHERM HOMME FORCESUPREMEFACERESHAPER MUAATRGUANTWENANTAES 「油皮天菜」 「干皮天菜」",,,,UGC,男士护肤套装,广州友谊商店碧欧泉,https://www.xiaohongshu.com/discovery/item/69b95ef40000000023013cb0,0,2026-03-17 22:02:28,2026-03-18 10:59:00,0,0,0,,,0,0,5,,,,,是,普通笔记,主贴,59b41f165e87e726c788bb41,267126339,http://www.xiaohongshu.com/user/profile/59b41f165e87e726c788bb41,广东,,,,女,,,还没有简介,69b95ef40000000023013cb0,1,https://sns-img-al.xhscdn.com/ark_notes/104104eo31tqn2fi7nq06d024hrhg00000000008hlddfu?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/ark_notes/104104eo31tqn2fi7nq0md024hrhg0000000000ds6cita?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/ark_notes/104104eo31tqn2fi7nq16d024hrhg0000000000c45lqem?imageView2/2/w/480/format/webp|https://sns-img-al.xhscdn.com/ark_notes/104104eo31tqn2fi7nq1md024hrhg0000000000bhmouja?imageView2/2/w/480/format/webp,https://sns-avatar-qc.xhscdn.com/avatar/1040g2jo314kuop7l6i0049ph6dfhdeq1elvp140?imageView2/2/w/360/format/webp,,男士|护肤套装,面霜,fa79919f6f7a48fa8cfefe812ff43973,否,"{""topic_list"":""[]"",""video_tag"":""[]"",""source_channel"":""696F735F3932302F7072656C6F61645F696E63""}",,,男士护肤套装,,,广东广州,,,10
